City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,midvagur,62.0511,-7.1939,10.46,87,75,8.23,FO,1717175840
1,port mathurin,-19.6833,63.4167,24.58,69,71,11.88,MU,1717175840
2,yazd,31.8972,54.3675,35.06,10,0,3.09,IR,1717175840
3,mossel bay,-34.1831,22.146,12.96,70,100,2.65,ZA,1717175841
4,port-aux-francais,-49.35,70.2167,6.38,95,100,15.63,TF,1717175841
5,maintirano,-18.0667,44.0167,25.34,71,0,3.03,MG,1717175841
6,port macquarie,-31.4333,152.9167,15.5,80,100,0.51,AU,1717175842
7,adamstown,-25.066,-130.1015,20.18,64,1,5.86,PN,1717175842
8,sitka,57.0531,-135.33,12.94,54,100,7.2,US,1717175842
9,nova vicosa,-17.8919,-39.3719,25.31,66,100,6.8,BR,1717175843
10,tan-tan,28.438,-11.1032,19.97,82,100,7.2,MA,1717175843
11,mount isa,-20.7333,139.5,16.87,94,100,6.69,AU,1717175843
12,hermanus,-34.4187,19.2345,9.89,77,70,2.51,ZA,1717175843
13,blackmans bay,-43.0167,147.3167,8.18,75,71,3.35,AU,1717175843
14,nenjiang,49.1833,125.2167,12.35,55,96,2.49,CN,1717175843
15,ushuaia,-54.8,-68.3,2.81,70,0,1.54,AR,1717175843
16,saint-pierre,-21.3393,55.4781,21.82,83,0,3.09,RE,1717175843
17,grytviken,-54.2811,-36.5092,-4.06,83,39,9.72,GS,1717175844
18,kerikeri,-35.2268,173.9474,9.31,95,13,1.77,NZ,1717175844
19,avarua,-21.2078,-159.775,24.03,64,100,3.09,CK,1717175844
20,whitehorse,60.7161,-135.0538,10.05,41,40,6.17,CA,1717175844
21,ulladulla,-35.35,150.4667,11.62,74,100,3.08,AU,1717175844
22,puerto natales,-51.7236,-72.4875,0.25,100,100,1.03,CL,1717175844
23,masterton,-40.9597,175.6575,12.71,96,95,1.69,NZ,1717175844
24,iqaluit,63.7506,-68.5145,1.85,59,75,5.14,CA,1717175844
25,cody,44.5263,-109.0565,15.11,37,0,2.06,US,1717175845
26,stanley,54.868,-1.6985,14.33,65,20,4.63,GB,1717175845
27,ancud,-41.8697,-73.8203,8.47,90,100,3.12,CL,1717175845
